material_id,formula,formation_energy_per_atom
mp-1215288,ZrAlN2,-1.352837980624999
mp-1215308,ZrAlNi2,-0.490161602499999
mp-1215314,ZrAlCu2,-0.20778736749999902
mp-1215335,ZrAlAu2,-0.5723820593055461
mp-1215589,Zr3AlN4,-1.711204306250001
mp-1217016,TiAlCo2,-0.517592894166664
mp-1217020,TiAlFe2,-0.39727998333333203
mp-1217021,TiAlNi2,-0.504478898333331
mp-1217022,TiAlAu2,-0.46214395770833505
mp-1217040,TiAlPd2,-0.744713764166672
mp-1217044,TiAlNi6,-0.473768206666666
mp-1217047,TiAlCu2,-0.22710811416666402
mp-1217087,Ti2AlCr,-0.20894951833333203
mp-1217689,Tb2AlCu,-0.347382061041667
mp-1219346,ScAlCu2,-0.26000334375
mp-1219931,Pr2AlZn,-0.320696435833332
mp-1221702,MnAlRh2,-0.653301976982758
mp-1221718,MnAlPd2,-0.565037866982757
mp-1221720,MnAlIr2,-0.546775179482759
mp-1221740,MnAlNi6,-0.25653153974137805
mp-1223211,La2MgAl,-0.23241554125000002
mp-1223230,La2AlZn,-0.37397998750000006
mp-1225076,Er2AlCu,-0.325927632499998
mp-1225555,Er4AlSi3,-0.487371012916664
mp-1226604,CeAlO2,-2.877587447499999
mp-1228041,AlSiNi6,-0.430051100625
mp-1228805,AlOF3,-2.132349994
mp-1228816,AlVFe2,-0.38128014999999904
mp-1228832,AlNi6Ge,-0.336871960000001
mp-1228840,AlVNi2,-0.385740333958334
mp-1228861,AlNi6Pd,-0.18249495750000103
mp-1228893,AlGaCo2,-0.37752743999999905
mp-1228906,AlCrFe2,-0.15702917999999902
mp-1228912,AlCuPd2,-0.6095764662500011
mp-1228918,AlGaNi6,-0.35302968250000005
mp-1228938,AlCuNi6,-0.18506885250000002
mp-1228972,AlCoNi6,-0.197792825000002
mp-1229119,Al(Ni4Pt)3,-0.15075195937499802
mp-12550,AlCuPt2,-0.7594491199999991
mp-1383064,AlCrO3,-1.5538115110000001
mp-1386275,Al(BiO3)3,-1.206278120384616
mp-1539038,AlTl2F5,-2.910299935624998
mp-5347,KAlF4,-3.634830124124994
mp-5479,RbAlF4,-3.6362549645833333
mp-5606,AlTlF4,-3.247533628333334
mp-7723,NaAlF4,-3.5062188820000113
mp-9486,K2AlF5,-3.50936397743751
mp-10532,Yb2AlSi2,-0.7567335389999981
mp-10676,Sc2AlSi2,-0.730919807
mp-16496,Al(CuRe)2,0.34465301400001
mp-21269,U2AlCo2,-0.18647605649999202
mp-21382,Dy2AlGe2,-0.811393761999971
mp-2910,KAlF4,-3.644089839958327
mp-5259,RbAlF4,-3.636942878749999
mp-20757,MnAlGe,-0.20761954431034402
mp-27335,NaAlSi,-0.152273453333332
mp-7400,NaAlGe,-0.26544648666666604
mp-1019513,AlPO4,-3.124925000218252
mp-1211750,KAlBr4,-1.764494914958331
mp-1214853,AlInBr4,-1.380429771527776
mp-567878,AlTlBr4,-1.464957673888887
mp-1096811,Al(BiO2)2,-1.8540241467857141
mp-1198317,Mg4AlSi3,0.005714555937500001
mp-555538,AlPS4,-0.144608767371031
mp-1214822,AlCo2Ni,-0.24212216449999902
mp-1258362,AlVRe2,3.88583563625
mp-23697,K3AlH6,-0.252694618374999
mp-27393,AlPd5I2,-0.524211835
mp-1019377,Al(PO3)3,-2.841152989725275
mp-1019512,AlPO4,-3.035414427857143
mp-1182023,CaAlH5,-0.258002306428571
mp-1182916,AlSeO10,-0.38356443623697906
mp-1182973,AlSO10,-0.9088203112499991
mp-1183023,AlSO10,-1.001096870208333
mp-1183036,Al(NO6)3,-0.257398898068181
mp-1189272,CsAlTe3,-0.8045202115000021
mp-1193748,Cs3AlTe3,-1.168032883214282
mp-1202156,AlPO6,-1.8578585858928571
mp-1203148,AlP3O10,-2.5021480618877563
mp-1204227,Al(NO6)3,0.015425901249999001
mp-1215122,Al(NO6)3,0.335080762045454
mp-1238905,AlSeO10,-0.5454918014453121
mp-1245626,YAlN2,-1.6440572468749992
mp-1247480,Na3AlN2,-0.24121220385057401
mp-1259818,AlFeO3,-2.356194891999999
mp-1340379,AlSnO3,-2.436627378
mp-16557,SrAlF5,-4.042098668035715
mp-16795,CaAlF5,-4.007732106428571
mp-18217,K3AlSe3,-1.3819342316116061
mp-18378,K3AlTe3,-1.127586541607144
mp-2212965,KAlCl4,-1.955060099791667
mp-22983,LiAlCl4,-1.8320611681944432
mp-23705,Na3AlH6,-0.271020285249999
mp-24034,K3AlH6,-0.302516447875
mp-27540,Al(HO)3,-2.043254557678572
mp-27653,LiAlH4,-0.21714912652777701
mp-29596,Ca3AlN3,-1.229088554821428
mp-3416,Na3AlF6,-3.4024626925
mp-541111,AlGaCl4,-1.398451875416666
mp-555144,BaAlF5,-4.039143896785715
mp-560196,Al(HO)3,-2.030383955178571
mp-560538,Na3AlS3,-1.397249384062499
mp-560572,Al(HO)3,-2.033873339285714
mp-562441,Cs3AlO3,-2.156945058423644
mp-573751,AlTeCl7,-1.124001829722222
mp-582723,Cs3AlAs2,-0.47687160211925306
mp-601881,CaAlH5,-0.242148208749999
mp-607829,AlTlI4,-0.9711981497222221
mp-619651,Cs3AlP2,-0.6025924699503941
mp-625739,Al(HO)3,-2.019841843214286
mp-626470,Al(HO)3,-2.036871650892858
mp-672273,AlBiCl6,-1.714143323750001
